Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-12-30 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1998-12-31 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-01 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-04 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-05 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-06 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-07 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-08 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-11 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-12 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-13 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-14 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-15 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-18 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-19 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-20 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-21 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-22 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-25 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-26 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-27 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-28 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-01-29 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-01 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-02 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-03 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-04 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-05 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-08 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-09 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-10 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-11 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-12 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-15 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-16 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-17 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-18 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-19 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-22 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-23 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-24 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-25 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-02-26 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-01 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-02 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-03 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-04 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-05 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-08 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-09 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-10 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-11 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-12 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-15 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-16 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-17 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-18 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-19 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-22 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-23 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-24 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-25 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-26 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-29 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-30 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-03-31 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-01 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-02 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-05 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-06 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-07 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-08 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-09 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-12 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-13 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-14 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-15 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-16 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-19 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-20 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-21 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-22 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-23 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-26 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-27 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-28 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-29 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-04-30 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-03 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-04 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-05 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-06 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-07 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-10 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-11 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-12 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-13 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-14 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-17 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-18 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-19 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-20 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-21 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-24 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-25 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-26 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-27 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-28 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-05-31 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-01 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-02 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-03 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-04 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-07 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-08 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-09 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-10 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-11 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-14 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-15 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-16 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-17 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-18 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-21 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-22 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-23 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-24 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-25 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-28 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-29 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-06-30 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-01 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-02 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-05 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-06 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-07 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-08 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-09 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-12 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-13 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-14 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-15 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-16 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-19 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-20 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-21 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-22 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-23 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-26 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-27 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
1999-07-28 00:00:00+05:30,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0,0.0,0.0
