Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-06-14 00:00:00+05:30,1.715000033378601,1.715000033378601,1.715000033378601,1.715000033378601,2000,0.0,0.0
2001-06-15 00:00:00+05:30,1.715000033378601,1.715000033378601,1.715000033378601,1.715000033378601,0,0.0,0.0
2001-06-18 00:00:00+05:30,1.715000033378601,1.715000033378601,1.715000033378601,1.715000033378601,0,0.0,0.0
2001-06-19 00:00:00+05:30,1.715000033378601,1.715000033378601,1.715000033378601,1.715000033378601,0,0.0,0.0
2001-06-20 00:00:00+05:30,1.715000033378601,1.715000033378601,1.715000033378601,1.715000033378601,0,0.0,0.0
2001-06-21 00:00:00+05:30,1.715000033378601,1.715000033378601,1.715000033378601,1.715000033378601,0,0.0,0.0
2001-06-22 00:00:00+05:30,1.715000033378601,1.715000033378601,1.715000033378601,1.715000033378601,0,0.0,0.0
2001-06-25 00:00:00+05:30,1.715000033378601,1.715000033378601,1.715000033378601,1.715000033378601,0,0.0,0.0
2001-06-26 00:00:00+05:30,1.715000033378601,1.715000033378601,1.715000033378601,1.715000033378601,0,0.0,0.0
2001-06-27 00:00:00+05:30,1.715000033378601,1.715000033378601,1.715000033378601,1.715000033378601,0,0.0,0.0
2001-06-28 00:00:00+05:30,1.715000033378601,1.715000033378601,1.715000033378601,1.715000033378601,0,0.0,0.0
2001-06-29 00:00:00+05:30,1.715000033378601,1.715000033378601,1.715000033378601,1.715000033378601,0,0.0,0.0
2001-07-02 00:00:00+05:30,2.0,2.0,2.0,2.0,8000,0.0,0.0
2001-07-03 00:00:00+05:30,2.005000114440918,2.005000114440918,2.005000114440918,2.005000114440918,1000,0.0,0.0
2001-07-04 00:00:00+05:30,2.005000114440918,2.005000114440918,2.005000114440918,2.005000114440918,0,0.0,0.0
2001-07-05 00:00:00+05:30,2.005000114440918,2.005000114440918,2.005000114440918,2.005000114440918,0,0.0,0.0
2001-07-06 00:00:00+05:30,2.005000114440918,2.005000114440918,2.005000114440918,2.005000114440918,0,0.0,0.0
2001-07-09 00:00:00+05:30,1.8450000286102295,1.8450000286102295,1.8450000286102295,1.8450000286102295,6000,0.0,0.0
2001-07-10 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,10,0.0,0.0
2001-07-11 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-07-12 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,10,0.0,0.0
2001-07-13 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-07-16 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,10,0.0,0.0
2001-07-17 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-07-18 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-07-19 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-07-20 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-07-23 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-07-24 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-07-25 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-07-26 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-07-27 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-07-30 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-07-31 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-01 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-02 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-03 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-06 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-07 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-08 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-09 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-10 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-13 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-14 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-15 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-16 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-17 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-20 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-21 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-22 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-23 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-24 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-27 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-28 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-29 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-30 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-08-31 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-09-03 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-09-04 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-09-05 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-09-06 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-09-07 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-09-10 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-09-11 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-09-12 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
2001-09-13 00:00:00+05:30,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,0,0.0,0.0
