Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-05 00:00:00+05:30,4.5,4.5,4.5,4.5,200,0.0,0.0
2000-01-06 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-07 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-10 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-11 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-12 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-13 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-14 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-17 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-18 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-19 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-20 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-21 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-24 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-25 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-26 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-27 00:00:00+05:30,4.5,4.5,4.5,4.5,0,0.0,0.0
2000-01-28 00:00:00+05:30,3.5,3.5,3.5,3.5,100,0.0,0.0
2000-01-31 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-01 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-02 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-03 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-04 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-07 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-08 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-09 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-10 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-11 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-14 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-15 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-16 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-17 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-18 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-21 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-22 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-23 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-24 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-25 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-28 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-02-29 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-01 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-02 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-03 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-06 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-07 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-08 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-09 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-10 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-13 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-14 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-15 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-16 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-17 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-20 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-21 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-22 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-23 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-24 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-27 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-28 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-29 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-30 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-03-31 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-03 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-04 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-05 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-06 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-07 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-10 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-11 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-12 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-13 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-14 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-17 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-18 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-19 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-20 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-21 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-24 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-25 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-26 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-27 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-04-28 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-01 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-02 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-03 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-04 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-05 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-08 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-09 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-10 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-11 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-12 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-15 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-16 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-17 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-18 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-19 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-22 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-23 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-24 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-25 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-26 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-29 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-30 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-05-31 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-01 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-02 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-05 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-06 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-07 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-08 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-09 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-12 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-13 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-14 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-15 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-16 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-19 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-20 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-21 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-22 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-23 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-26 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-27 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-28 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-29 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-06-30 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-03 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-04 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-05 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-06 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-07 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-10 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-11 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-12 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-13 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-14 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-17 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-18 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-19 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-20 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2000-07-21 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
