Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-06-13 00:00:00+05:30,2.5,2.5,2.5,2.5,600,0.0,0.0
2003-06-16 00:00:00+05:30,2.5,2.5,2.5,2.5,0,0.0,0.0
2003-06-17 00:00:00+05:30,2.5,2.5,2.5,2.5,0,0.0,0.0
2003-06-18 00:00:00+05:30,3.0,3.0,3.0,3.0,500,0.0,0.0
2003-06-19 00:00:00+05:30,3.5,3.5,3.5,3.5,100,0.0,0.0
2003-06-20 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-06-23 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-06-24 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-06-25 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-06-26 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-06-27 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-06-30 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-07-01 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-07-02 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-07-03 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-07-04 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-07-07 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-07-08 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-07-09 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-07-10 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-07-11 00:00:00+05:30,3.5,3.5,3.5,3.5,0,0.0,0.0
2003-07-14 00:00:00+05:30,3.75,3.75,3.75,3.75,100,0.0,0.0
2003-07-15 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-07-16 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-07-17 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-07-18 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-07-21 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-07-22 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-07-23 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-07-24 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-07-25 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-07-28 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-07-29 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-07-30 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-07-31 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-01 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-04 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-05 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-06 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-07 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-08 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-11 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-12 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-13 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-14 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-15 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-18 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-19 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-20 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-21 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-22 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-25 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-26 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-27 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-28 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-08-29 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-01 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-02 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-03 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-04 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-05 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-08 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-09 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-10 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-11 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-12 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-15 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-16 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-17 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-18 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-19 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-22 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-23 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-24 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-25 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-26 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-29 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-09-30 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-10-01 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-10-02 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-10-03 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-10-06 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-10-07 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
2003-10-08 00:00:00+05:30,3.75,3.75,3.75,3.75,0,0.0,0.0
