Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-04 00:00:00+05:30,12.5,12.5,12.5,12.5,50,0.0,0.0
2015-11-05 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-06 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-09 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-10 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-13 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-16 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-17 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-18 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-19 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-20 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-23 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-24 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-26 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-27 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-11-30 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-01 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-02 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-03 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-04 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-07 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-08 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-09 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-10 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-11 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-14 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-15 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-16 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-17 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-18 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-21 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-22 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-23 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-24 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-28 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-29 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-30 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
2015-12-31 00:00:00+05:30,12.5,12.5,12.5,12.5,0,0.0,0.0
